title,subtitle,ownership,he_has_read,no_dash_isbn,has_googlebooks_data,has_openbooks_data,authors,publisher,published_date,page_count,description,categories,category,subcategory,subjects,subject_places,googlebooks_link,openbooks_link,thumbnail_link,dewey_decimal_class
The Idea of Justice,,His,1,9780141037851,1.0,,Amartya Sen,Penguin UK,2010-07-01,496.0,"Is justice an ideal, forever beyond our grasp, or something that may actually guide our practical decisions and enhance our lives? In this wide-ranging book, Amartya Sen presents an alternative approach to mainstream theories of justice which, despite their many specific achievements have taken us, he argues, in the wrong direction in general. At the heart of Sen's argument is his insistence on the role of public reason in establishing what can make societies less unjust. But it is in the nature of reasoning about justice, argues Sen, that it does not allow all questions to be settled even in theory; there are choices to be faced between alternative assessments of what is reasonable. Sen also shows how concern about the principles of justice in the modern world must avoid parochialism, and further, address questions of global injustice. The breadth of vision, intellectual acuity and striking humanity of one of the world's leading public intellectuals have never been more clearly shown than in this remarkable book.",Philosophy,Philosophy and Logic,,,,https://www.googleapis.com/books/v1/volumes/Q344cNCqXs4C,,http://books.google.com/books/content?id=Q344cNCqXs4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Justice,what's the right thing to do?,His,1,9780374180652,,1.0,,"Farrar, Straus and Giroux",2009,,,,Philosophy and Logic,,,,,https://openlibrary.org/books/OL23953820M/Justice,,172/.2
The Art of the Good Life,Clear Thinking for Business and a Better Life,His,1,9781473667488,1.0,,Rolf Dobelli,Sceptre,2017-11-02,260.0,"#1 European bestseller: the indispensable new work from the author of the international and Sunday Times bestseller The Art of Thinking Clearly Have you ever... · Spent too long on a powerpoint presentation? · Lost sight of what makes you happy? · Failed to reach a long-term goal? · Become infuriated by queuing, tax or parking tickets? · Broken a promise you knew you'd keep? Since the dawn of civilization, we've been asking ourselves what it means to live a good life: how should I live, what will truly make be happy, how much should I earn, how should I spend my time? In the absence of a single simple answer, what we need is a toolkit of mental models, a guide to practical living. In The Art of the Good Life, you'll find fifty-two intellectual shortcuts for wiser thinking and better decisions, at home and at work. They may not guarantee you a good life, but they'll give you a better chance.",Self-Help,Philosophy and Logic,,,,https://www.googleapis.com/books/v1/volumes/TYrKAQAACAAJ,,http://books.google.com/books/content?id=TYrKAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Price of Everything,Solving the Mystery of Why We Pay What We Do,His,1,9781591843627,1.0,1.0,Eduardo Porter,Portfolio (Hardcover),2011,296.0,"An assessment of the role of value in every aspect of life explains that a price is incurred for every choice, and assesses the inherent costs of such controversial topics as joining a church, promoting longevity, and organ donation.",Business & Economics,Economics,,Values;Value,,https://www.googleapis.com/books/v1/volumes/G2DANAEACAAJ,https://openlibrary.org/books/OL24383680M/The_price_of_everything,http://books.google.com/books/content?id=G2DANAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,338.5/21
What Money Can't Buy,The Moral Limits of Markets,His,1,9780374203030,1.0,1.0,Michael J. Sandel,Macmillan,2012-04-24,244.0,"Sandel argues that we have drifted from having a market economy to being a market society and examines one of the biggest ethical questions of our time: What is the proper role of markets in a democratic society, and how can we protect the moral and civic goods that markets do not honor and money cannot buy?",Business & Economics,Economics,,Moral and ethical aspects;Wealth;Economics;Value;Capitalism;Internet Archive Wishlist,,https://www.googleapis.com/books/v1/volumes/ZCZY0KmuQSwC,https://openlibrary.org/books/OL25162870M/What_money_can't_buy,http://books.google.com/books/content?id=ZCZY0KmuQSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,174
The Armchair Economist,Economics and Everyday Life,His,0,9781847395252,1.0,,Steven E. Landsburg,,2009,241.0,"Why does popcorn cost so much at the movies? When does it make sense not to recycle? Why are laws against polygamy detrimental to women? Steven E. Landsburg examines everything from taxes, unemployment and illiteracy to the mating game, the death penalty and environmentalism to solve the puzzling questions that occur in daily living. Both controversial and humorous, The Armchair Economist demystifies the economics of everyday behaviour, and shows how the laws of economics can reveal themselves in surprising ways. Put your convictions to the test with The Armchair Economist.",Economics,Economics,,,,https://www.googleapis.com/books/v1/volumes/zTdePgAACAAJ,,http://books.google.com/books/content?id=zTdePgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Questions,"Tackling the Problems of Philosophy with Ideas from Mathematics, Economics, and Physics",His,0,9781847399168,1.0,,Steven E. Landsburg,,2010-09-01,267.0,"What's wrong with stealing? What's the best way to blood test a pot-bellied pig? Should we tolerate intolerance? In the wake of his enormously popular books, The Armchair Economist and More Sex is Safer Sex, Steven Landsburg uses concepts from maths, economics and physics to address the big questions in philosophy: Where does knowledge come from? What's the difference between right and wrong? Do our beliefs matter? Is it possible to know everything? Provocative, utterly entertaining and always surprising, The Big Questions challenges readers to re-evaluate their most fundamental beliefs and reveals the relationship between the loftiest philosophical quests and our everyday lives.",Philosophy,Economics,,,,https://www.googleapis.com/books/v1/volumes/0RZRQAAACAAJ,,http://books.google.com/books/content?id=0RZRQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Return of the Economic Naturalist,How Economics Helps Make Sense of Your World,His,0,9780753519660,1.0,1.0,Robert H. Frank,Virgin Publishing,2009,263.0,"The Economic Naturalist is back with a whole batch of intriguing new questions and answers, drawn from his New York Times columns, that reveal how we really behave when confronted with economic choices. Do tax cuts for business owners really stimulate employment? Why shouldn't we just leave everything to the market? And why do we all save so little? Discover the answers to these and many more questions. With his trademark plain-speaking wit and insight, Robert Frank shows through dozens of examples how our personal choices about everything from paying for food and housing to large-scale policy decisions about taxation and the regulation of markets all boil down to the same simple economic principles, often resulting in the same wasteful mistakes. He shows that while our desires may be boundless, the resources necessary to satisfy them remain limited and argues that choices are always best made pragmatically - by carefully weighing the costs and benefits of competing options. This is a fascinating, entertaining and revealing collection full of insights that have more bearing than ever on our bank balances and our personal happiness.",Economics,Economics,,,,https://www.googleapis.com/books/v1/volumes/hURrPQAACAAJ,https://openlibrary.org/books/OL26154261M/The_Return_of_The_Economic_Naturalist,http://books.google.com/books/content?id=hURrPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,0141025808,,,,,,,,,Economics,,,,,,,
This is what Inequality Looks Like,,His,0,9789811158049,1.0,,Youyenn Teo,,2018,288.0,,Equality,Sociology,,,,https://www.googleapis.com/books/v1/volumes/A6EstAEACAAJ,,,
Life 3. 0,Being Human in the Age of Artificial Intelligence,His,0,9780141981802,1.0,,Max Tegmark,Penguin Press,2018-07,400.0,"We stand at the beginning of a new era. What was once science fiction is fast becoming reality, as AI transforms war, crime, justice, jobs and society-and, even, our very sense of what it means to be human. More than any other technology, AI has the potential to revolutionize our collective future - and there's nobody better situated to explore that future than Max Tegmark, an MIT professor and co-founder of the Future of Life Institute, whose work has helped mainstream research on how to keep AI beneficial. In this deeply researched and vitally important new book, Tegmark takes us to the heart of thinking about AI and the human condition, bringing us face to face with the essential questions of our time. What sort of future do we want? Life 3.0gives us the tools to join what may be the most important conversation of our time.",,Technology,,,,https://www.googleapis.com/books/v1/volumes/UPNtswEACAAJ,,http://books.google.com/books/content?id=UPNtswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,0,9781785036460,,,,,,,,,Technology,,,,,,,
The Innovators,"How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",His,0,9781471138805,1.0,,Walter Isaacson,,2015-10-06,560.0,"Following his blockbuster biography of Steve Jobs, The Innovators is Walter Isaacson's story of the people who created the computer and the Internet. It is destined to be the standard history of the digital revolution and a guide to how innovation really works. What talents allowed certain inventors and entrepreneurs to turn their disruptive ideas into realities? What led to their creative leaps? Why did some succeed and others fail? In his exciting saga, Isaacson begins with Ada Lovelace, Lord Byron's daughter, who pioneered computer programming in the 1840s. He then explores the fascinating personalities that created our current digital revolution, such as Vannevar Bush, Alan Turing, John von Neumann, J.C.R. Licklider, Doug Engelbart, Robert Noyce, Bill Gates, Steve Wozniak, Steve Jobs, Tim Berners-Lee and Larry Page. This is the story of how their minds worked and what made them so creative. It's also a narrative of how their ability to collaborate and master the art of teamwork made them even more creative. For an era that seeks to foster innovation, creativity and teamwork, this book shows how they actually happen.",,Technology,,,,https://www.googleapis.com/books/v1/volumes/wUapoAEACAAJ,,http://books.google.com/books/content?id=wUapoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Man's Search for Meaning,,His,1,9780807014295,1.0,1.0,Viktor E. Frankl;Ilse Lasch;Harold S. Kushner,Beacon Press (MA),2006-01-01,165.0,"This author's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, he argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. This book has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",Biography & Autobiography,Philosophy and Logic,,"Existential psychotherapy;Logotherapy;Meaning (Psychology);Concentration camps;Psychologists;Prison psychology;Holocaust, Jewish (1939-1945);Personal narratives;Biography;Protected DAISY;Psychological aspects;In library",,https://www.googleapis.com/books/v1/volumes/kDOlPwAACAAJ,https://openlibrary.org/books/OL7944581M/Man's_Search_for_Meaning,http://books.google.com/books/content?id=kDOlPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,0,9781453704424,,,,,,,,,Philosophy and Logic,,,,,,,
The Pleasures and Sorrows of Work,,His,1,9780307277251,1.0,1.0,Alain De Botton,Vintage Books,2010-06-01,326.0,"""In the place of easy answers, De Botton offers an array of potent and portable insights about the delight and despair we find, daily, in our working lives.""---Los Angeles Times --",Business & Economics,Philosophy and Logic,,In library;Miscellanea;Work;Arbeit;Arbeitswelt;Lebenssinn;Befindlichkeit,,https://www.googleapis.com/books/v1/volumes/_xzaY0Nrd0QC,https://openlibrary.org/books/OL25775280M/The_pleasures_and_sorrows_of_work,http://books.google.com/books/content?id=_xzaY0Nrd0QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,306.3/6
Shop Class as Soulcraft,An Inquiry Into the Value of Work,His,1,9781594202230,1.0,1.0,Matthew B. Crawford,Penguin,2009,246.0,"A philosopher and mechanic extolls the virtues of manual labor, describing how the satisfactions and challenges of creating with one's own hands promotes a sense of connection to life that office work suppresses.",Business & Economics,Philosophy and Logic,,Work;OverDrive;Business;Nonfiction;Philosophy,,https://www.googleapis.com/books/v1/volumes/oc4XsaqD4qsC,https://openlibrary.org/books/OL24260890M/Shop_Class_as_Soulcraft,http://books.google.com/books/content?id=oc4XsaqD4qsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
A Guide to the Good Life,The Ancient Art of Stoic Joy,His,1,9780195374612,1.0,1.0,William B. Irvine,OUP USA,2009-02-05,314.0,"Using the psychological insights and the practical techniques of the Stoics, Irvine offers a roadmap for anyone seeking to avoid the feelings of chronic dissatisfaction that plague so many of us. Irvine looks at various Stoic techniques for attaining tranquility and shows how to put these techniques to work in our own life. As he does so, he describes his own experiences practicing Stoicism and offers valuable first-hand advice for anyone wishing to live better by following in the footsteps of these ancient philosophers.",Philosophy,Philosophy and Logic,,Stoics,,https://www.googleapis.com/books/v1/volumes/px0TDAAAQBAJ,https://openlibrary.org/books/OL16698683M/A_guide_to_the_good_life,http://books.google.com/books/content?id=px0TDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,171/.2
Philosophy,The Basics,His,0,9780415327732,1.0,1.0,Nigel Warburton,Psychology Press,2004,169.0,"[This] book [is] for anyone coming to philosophy for the first time ... Each chapter considers a key area of philosophy, explaining and exploring the basic ideas and themes.-Back cover.",Philosophy,Philosophy and Logic,,,,https://www.googleapis.com/books/v1/volumes/GESzQgAACAAJ,https://openlibrary.org/books/OL22591251M/PHILOSOPHY_THE_BASICS.,http://books.google.com/books/content?id=GESzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The British Empiricists,the classics,His,0,9780415356299,1.0,1.0,Stephen Priest,Taylor & Francis US,2007,336.0,,Empiricism,Philosophy and Logic,,,,https://www.googleapis.com/books/v1/volumes/zZ7YMgEACAAJ,https://openlibrary.org/books/OL24051983M/Philosophy,http://books.google.com/books/content?id=zZ7YMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100
History of Western Philosophy,,His,0,9780415325059,1.0,1.0,Bertrand Russell,Psychology Press,1946,778.0,"[The author's] purpose is to exhibit philosophy as an integral part of social and political life: not as the isolated speculations of remarkable individuals, but as both an effect and a cause of the character of the various communities in which different systems flourished.-Pref.",Philosophy,Philosophy and Logic,,In library;Western influences;Accessible book;Philosophy;Political science;Protected DAISY;History;Long Now Manual for Civilization,,https://www.googleapis.com/books/v1/volumes/sIHMdQ4X8GkC,https://openlibrary.org/books/OL7491627M/History_of_Western_Philosophy_(Routledge_Classics),http://books.google.com/books/content?id=sIHMdQ4X8GkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
An Introduction to Probability and Inductive Logic,,His,1,9780521775014,1.0,1.0,Ian Hacking,Cambridge University Press,2001-07-02,302.0,An introductory 2001 textbook on probability and induction written by a foremost philosopher of science.,Mathematics,Philosophy and Logic,Logic,,,https://www.googleapis.com/books/v1/volumes/ycbc5cpAuMAC,https://openlibrary.org/books/OL7753152M/An_Introduction_to_Probability_and_Inductive_Logic,http://books.google.com/books/content?id=ycbc5cpAuMAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Socrates' Way,Seven Master Keys to Using Your Mind to the Utmost,His,1,1585421928,1.0,1.0,Ronald Gross,TarcherPerigee,2002,282.0,"Interprets the teachings of Socrates to provide step-by-step instructions on how to strengthen thinking ability, enhance creativity and autonomy, and overcome personal challenges. Reprint.",Business & Economics,Philosophy and Logic,,In library;Self-Improvement;Accessible book;OverDrive;Nonfiction;Protected DAISY;Philosophie;Aufsatzsammlung,,https://www.googleapis.com/books/v1/volumes/jdmsXDf6fG4C,https://openlibrary.org/books/OL17920273M/Socrates'_way,http://books.google.com/books/content?id=jdmsXDf6fG4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,183/.2
Ethics,Theory and Contemporary Issues,His,1,9780495506799,,1.0,Barbara MacKinnon,Wadsworth Publishing,"February 15, 2008",,,,Philosophy and Logic,,"Ethics;Ethics, Modern;Modern Ethics",,,https://openlibrary.org/books/OL10345463M/Ethics,,
"Now, Discover Your Strengths",How to Develop Your Talents and Those of the People You Manage,His,1,0743207661,1.0,1.0,Marcus Buckingham;Donald O. Clifton,Free Press,2002,260.0,"Based on a Gallup study of over two million people who have excelled in their careers, NOW, DISCOVER YOUR STRENGTHS uses a revolutionary programme to help readers discover their distinct talents and strengths. The product of a twenty-five year, multi-million pound effort to identify the most prevalent human talents, the StrengthsFinder programme introduces thirty-four talents or ""themes"" and reveals how they can best be translated into personal and career success. Each copy of the book contains a unique password that gives the reader access to the StrengthsFinder Profile, a Web-based interview that analyses people's instinctive reactions and immediately presents them with their five most dominant strengths. Once readers know which of the thirty-four talent themes dominates their personality, they can make practical applications at three levels: as an individual, as a manager and within an organisation. Readers learn what kind of environments will allow them to flourish; how managers can better cultivate their employers' talents; and how almost all organisations inhibit the talents of their people and need to change.",Employee motivation,Psychology,Personality,,,https://www.googleapis.com/books/v1/volumes/V2xNPgAACAAJ,https://openlibrary.org/books/OL7926816M/Now_Discover_Your_Strengths,http://books.google.com/books/content?id=V2xNPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,039579867I,,,,,,,,,Psychology,Personality,,,,,,
StrengthsFinder 2.0,,His,1,9781595620156,1.0,1.0,Tom Rath,Simon and Schuster,2007-02,175.0,An updated version of the StrengthsFinder program developed by Gallup experts to help readers discover their distinct talents and strengths and how they can be translated into personal and career successes.,Business & Economics,Psychology,Personality,In library;Conduct of life;Ability;Success in business;Accessible book;Protected DAISY;Performance;Executive ability,,https://www.googleapis.com/books/v1/volumes/gttDCwAAQBAJ,https://openlibrary.org/books/OL24948600M/Strengths_finder_2.0,http://books.google.com/books/content?id=gttDCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,658.4/09
What Color Is Your Parachute? 2012: A Practical Manual for Job-Hunters and Career-Changers ,,His,1,9781607740100,,1.0,Richard Nelson Bolles,Ten Speed Press,2011,,,,Jobhunting,,Computer network resources;Applications for positions;Job hunting;Vocational guidance;Career changes,,,https://openlibrary.org/books/OL25229037M/What_Color_Is_Your_Parachute_2012_A_Practical_Manual_for_Job-Hunters_and_Career-Changers,https://covers.openlibrary.org/b/id/7083611-S.jpg,
How to Get a Job You'll Love,A Practical Guide to Unlocking Your Talents and Finding Your Ideal Career,His,1,9780077121808,1.0,,John Lees,McGraw-Hill,2008,286.0,"Focusing on career planning, this book sets out a five-point plan of action which includes networking, job search strategies and successful interview techniques. It includes information for MBA students, along with CV advice, and ideas and suggestions about portfolio careers.",Career changes,Jobhunting,,,,https://www.googleapis.com/books/v1/volumes/H200OAAACAAJ,,http://books.google.com/books/content?id=H200OAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,0071247637,,,,,,,,,Jobhunting,,,,,,,
,,His,1,9781851689170,,,,,,,,,Jobhunting,,,,,,,
Leading with Questions,How Leaders Find the Right Solutions By Knowing What To Ask,His,1,9780787977467,1.0,1.0,Michael J. Marquardt,John Wiley & Sons,2005-09-08,216.0,"In Leading with Questions, internationally acclaimed management consultant Michael Marquardt shows how you can learn to ask the powerful questions that will generate short-term results and long-term learning and success. Throughout the book, he demonstrates how effective leaders use questions to encourage participation and teamwork, foster outside-the-box thinking, empower others, build relationships with customers, solve problems, and much more. Based on interviews with twenty-two successful leaders who “lead with questions,” this important book reveals how to determine which questions will lead to solutions in today’s complicated business world.",Business & Economics,Leadership,,OverDrive;Business;Management;Nonfiction,,https://www.googleapis.com/books/v1/volumes/2QjeAwAAQBAJ,https://openlibrary.org/books/OL8149413M/Leading_with_Questions,http://books.google.com/books/content?id=2QjeAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Management,Leading People and Organizations in the 21st Century,His,1,9780138629700,1.0,1.0,Gary Dessler,Pearson College Division,1998,703.0,"This text in management follows a planning, organizing, leading and controlling framework. It features brief cases on diversity, entrepreneurship and strategy at the end of each chapter.",Business & Economics,Management,,Accessible book;Case studies;Industrial management;Knitting Factory (Nightclub);Leadership;Management;Music industry;Organization;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/l0jwAAAAMAAJ,https://openlibrary.org/books/OL685254M/Management,http://books.google.com/books/content?id=l0jwAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,658.4/092
Human resource management,,His,1,0471299898,1.0,1.0,David A. DeCenzo;Stephen P. Robbins,Wiley,1999,546.0,"This text features a real-world perspective that gives readers a clear picture of what today's human resouces management is really like. Emphasizing the application of theory, this edition integrates real-world examples from newsworthy corporations, such as Disney, IBM and GM to bring concepts to life. The authors integrate critical material from one chapter to the next to give readers a better sense of the interrelationships of key human resource topics.",Business & Economics,Management,,Personal;Administración;In library;Personnel management;Protected DAISY,,https://www.googleapis.com/books/v1/volumes/GD6r-m4WKtgC,https://openlibrary.org/books/OL378410M/Human_resource_management,http://books.google.com/books/content?id=GD6r-m4WKtgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,658.3
Uncommon Sense,A Handbook of Life You Wish You Had when You Were Born,His,1,9810433875,1.0,,Mel Gill,,2000,377.0,,Conduct of life,Leadership,,,,https://www.googleapis.com/books/v1/volumes/YNWiAAAACAAJ,,,
SuperMotivation,A Blueprint for Energizing Your Organization from Top to Bottom,His,1,0814402860,1.0,1.0,Dean R. Spitzer,AMACOM Div American Mgmt Assn,1995,214.0,"Instead of focusing on how individual managers can motivate individual employees, SuperMotivation shows you how to ""motivationally transform"" an entire organization. Based on the author's firsthand experience with a variety of companies and thousands of interviews, SuperMotivation takes a fresh approach to an age-old dilemma. It shows you how to eliminate ""demotivators"" - daily irritations such as politics, unnecessary rules, unproductive meetings, hypocrisy, rewarding mediocrity - that can negate the positive impact of your organization's efforts; add long-term ""motivators"" - rewards such as variety, choice, input, and teamwork - that are most effective with the ""new breed"" of employee, who craves independence, stimulation, and challenge; weave the principles of motivation into your company's systems - planning, production, communication, training, evaluation, and reward - to achieve long-term high motivation; and create a working environment that encourages employees to be self-motivated, the key to successfully energizing your organization from top to bottom! Each chapter is full of immediately applicable techniques that any organization can use to ""maximize the bang for its motivational bucks."" You'll find hundreds of practical suggestions for motivationally transforming jobs, teams, meetings, suggestion systems, training, performance appraisals, compensation, benefits, and much more.",Business & Economics,Leadership,,Accessible book;Employee motivation;Organizational effectiveness;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/qHixd1m94woC,https://openlibrary.org/books/OL786193M/SuperMotivation,http://books.google.com/books/content?id=qHixd1m94woC&printsec=frontcover&img=1&zoom=1&source=gbs_api,658.3/14
"Thick Face, Black Heart","The Asian Path to Thriving, Winning & Succeeding",His,0,1857881257,1.0,1.0,Chin-Ning Chu,Nicholas Brealey Publishing,1995,368.0,"This guide fuses the wisdom of the East and West, and explores how ancient Asian battle strategies and cultural mindsets can be applied today to achieve mental toughness and winning business techniques.",Self-preservation,Leadership,,,,https://www.googleapis.com/books/v1/volumes/CeZpPgAACAAJ,https://openlibrary.org/books/OL9001466M/Thick_Face_Black_Heart,http://books.google.com/books/content?id=CeZpPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Nice Guys Can Get the Corner Office,Eight Strategies for Winning in Business Without Being a Jerk,His,1,9781591842095,1.0,1.0,Russ C. Edelman;Timothy R. Hiltabiddle;Charles G. Manz;Charles C. Manz,Penguin,2008,274.0,"Outlines recommendations for achieving professional success without being aggressive or becoming a pushover, counseling workers with values in ethics, compassion, and sincerity on how to balance one's personal conduct in accordance with both integrity and ambition. 30,000 first printing.",Business & Economics,Leadership,,,,https://www.googleapis.com/books/v1/volumes/DJzCcX2Z2CAC,https://openlibrary.org/books/OL12375102M/Nice_Guys_Can_Get_the_Corner_Office,http://books.google.com/books/content?id=DJzCcX2Z2CAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The 21 Irrefutable Laws of Leadership,Follow Them and People Will Follow You,His,0,9780785288374,1.0,1.0,John C. Maxwell,Nelson Business,2007,309.0,"An expanded edition of the best-selling leadership guide features updated profiles of Maxwell's Laws of Leadership, two new laws, 17 additional stories, a revised evaluation tool for identifying one's strengths and weaknesses and new application exercises in every chapter.",Business & Economics,Leadership,,Leadership;Industrial management;Dirección y administración;Liderazgo;Industria;Accessible book;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/NAwULwEACAAJ,https://openlibrary.org/books/OL8100756M/The_21_Irrefutable_Laws_of_Leadership,http://books.google.com/books/content?id=NAwULwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Developing the Leader Within You,,His,1,9780785281122,1.0,1.0,John C. Maxwell,Thomas Nelson Inc,2005-09-06,224.0,"Identifies five characteristics of ""leader managers,"" explores different leadership styles, and outlines principles for fostering integrity and self-discipline while inspiring, motivating, and influencing others.",Psychology,Leadership,,Leadership;Protected DAISY;Accessible book;In library,,https://www.googleapis.com/books/v1/volumes/mfrIngEACAAJ,https://openlibrary.org/books/OL8100684M/Developing_the_Leader_Within_You,http://books.google.com/books/content?id=mfrIngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,8178091003,,,,,,,,,Leadership,,,,,,,
Getting It Done,How to Lead When You're Not in Charge,His,0,0887308422,1.0,1.0,Roger Fisher;Alan Sharp,HarperBusiness,1997-06-03,240.0,"Let's face it. In this chaotic world of teams, matrix management, and horizontal organizations, it's tougher than ever to get things done. How do you lead when you're not the one in charge? How can you be effective when joint action is needed? You need an edge in order to reach solutions and effectively work with others. Getting It DONE is your edge. Cowritten by Roger Fisher, an acknowledged authority on negotiation, Getting It DONE is the book to help you make things happen when you're not the boss. Fisher is the man who redefined the way the world negotiates with his megabestseller Getting to YES. Now he has teamed up with management consultant Alan Sharp to move beyond negotiation and give us the definitive book on collaboration. Introducing the technique of lateral leadership, Fisher and Sharp take collaboration to the next level and offer surefire ways to help anyone get better results from coworkers. Gleaned from their decades of experience as negotiators, mediators, and consultants to organizations, Getting It DONE gives you the practical tools you need to influence your peers and bosses and get the results you seek. Getting It DONE explains how you can best help a group formulate a clear vision of the results they want, suggest a course of action that you can all implement, and learn from past experiences. It describes how to ask questions effectively, offer ideas that will be heard, and influence the actions of others through your own behavior. The invaluable skills of lateral leadership enable you to achieve the ultimate goal--successful collaboration: Diagnose: identify the causes of a problem in order to solve it Prescribe: create an approach that deals effectively with differences Lead: engage others to implement the plan A simple guide with profound impact, Getting It DONE will help people effectively manage themselves and others well into the twenty-first century.",Business & Economics,Leadership,,Communication interpersonnelle;Teams in the workplace;Interpersonal communication;Leadership;Teamwork;Équipes de travail;Unternehmen;Führung;Protected DAISY,,https://www.googleapis.com/books/v1/volumes/WeqSQgAACAAJ,https://openlibrary.org/books/OL24852164M/Getting_it_done,http://books.google.com/books/content?id=WeqSQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,650.1/3
Winning,,His,1,9780061240171,1.0,,Jack Welch;Suzy Welch,Harper Collins,2007-02-06,384.0,"Jack Welch knows how to win. During his forty-year career at General Electric, he led the company to year-after-year success around the globe, in multiple markets, against brutal competition. His honest, be-the-best style of management became the gold standard in business, with his relentless focus on people, teamwork, and profits. Welch has written a philosophical and pragmatic book that is destined to become the bible of business for generations to come. It clearly lays out the answers to the most difficult and important questions people face both on and off the job. Welch's optimistic, no excuses, get-it-done mind-set is riveting. Packed with personal anecdotes and written in Jack's distinctive no b.s. voice, Winning is a great read and a great business book.",Business & Economics,Leadership,,,,https://www.googleapis.com/books/v1/volumes/PCmiLBVYMRMC,,http://books.google.com/books/content?id=PCmiLBVYMRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Quick and Easy Way to Effective Speaking,,His,1,9780671724009,1.0,1.0,Dale Carnegie;Dorothy Carnegie,Simon and Schuster,1977,224.0,"With this book, the bestselling author of 'How to Win Friends and Influence People' aims to demonstrate that public speaking is a skill which anyone can acquire and develop.",Language Arts & Disciplines,Leadership,,Accessible book;Oratory;Protected DAISY;Public speaking;Art de parler en public;Business presentations;In library,,https://www.googleapis.com/books/v1/volumes/YO87RGBQpgMC,https://openlibrary.org/books/OL22961831M/The_quick_easy_way_to_effective_speaking,http://books.google.com/books/content?id=YO87RGBQpgMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Reading People,"How to Understand People and Predict Their Behaviour - Anytime, Anyplace",His,1,0091819911,1.0,1.0,Jo-Ellan Dimitrius;Mark Mazzarella,Random House,1999,281.0,"A top jury consultant shows how to read a person like a book by decoding the hidden messages in appearance, tone of voice, facial expression, and personal habits.",Body language,Psychology,,,,https://www.googleapis.com/books/v1/volumes/lF_nrwvpoMsC,https://openlibrary.org/books/OL7314584M/Reading_People,http://books.google.com/books/content?id=lF_nrwvpoMsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
You Can Read Anyone,"Never be Fooled, Lied To, Or Taken Advantage of Again",His,1,9780978631307,1.0,1.0,David J. Lieberman,David Lieberman,2007,183.0,Describes psychological techniques that can help someone determine what another person is thinking.,Business & Economics,Psychology,,Interpersonal communication;Prediction (Psychology);Social perception;Truthfulness and falsehood,,https://www.googleapis.com/books/v1/volumes/7jcAh5KZBlAC,https://openlibrary.org/books/OL8592787M/You_Can_Read_Anyone,http://books.google.com/books/content?id=7jcAh5KZBlAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
