title,subtitle,ownership,he_has_read,no_dash_isbn,has_googlebooks_data,has_openbooks_data,authors,publisher,published_date,page_count,description,categories,category,subcategory,subjects,subject_places,googlebooks_link,openbooks_link,thumbnail_link,dewey_decimal_class
"Good Strategy, Bad Strategy",The Difference and why it Matters,His,1,9781846684807,1.0,,Richard P. Rumelt,Profile Books(GB),2011,322.0,"Argues that a manager's central responsibility is to create and implement strategies, challenges popular motivational practices, and shares anecdotes discussing how to enable action-oriented plans for real-world results.",Leadership,Strategy,,,,https://www.googleapis.com/books/v1/volumes/rK47bwAACAAJ,,http://books.google.com/books/content?id=rK47bwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The intelligent investor,a book of practical counsel,His,1,9780060555665,,1.0,Benjamin Graham,HarperBusiness Essentials,2003,,,,Finance and Investment,,Securities;Investments;OverDrive;Business;Nonfiction;Valeurs mobilières;Investimentos;Investissements;Accessible book;Protected DAISY,,,https://openlibrary.org/books/OL22997887M/The_intelligent_investor,,332.67/8
The Death and Life of Great American Cities,,His,1,0679600477,1.0,1.0,Jane Jacobs,Modern Library,1961,598.0,"Published to coincide with the 50th anniversary of its initial publication, this special edition of Jane Jacobs's masterpiece, The Death and Life of Great American Cities, features a new Introduction by Jason Epstein, the book's original editor, who provides an intimate perspective on Jacobs herself and unique insights into the creation and lasting influence of this classic. The Death and Life of Great American Cities was described by The New York Times as ""perhaps the most influential single work in the history of town planning. . . . [It] can also be seen in a much larger context. It is first of all a work of literature; the descriptions of street life as a kind of ballet and the bitingly satiric account of traditional planning theory can still be read for pleasure even by those who long ago absorbed and appropriated the book's arguments."" Jane Jacobs, an editor and writer on architecture in New York City in the early sixties, argued that urban diversity and vitality were being destroyed by powerful architects and city planners. Rigorous, sane, and delightfully epigrammatic, Jane Jacobs's tour de force is a blueprint for the humanistic management of cities. It remains sensible, knowledgeable, readable, and indispensable.",City planning,Economics,Urban Economics,City planning;Urban renewal;Urban policy;Cities and towns;United States;Juvenile literature;Accessible book;Protected DAISY;Stedenbouw;Long Now Manual for Civilization,United States,https://www.googleapis.com/books/v1/volumes/d88mmgEACAAJ,https://openlibrary.org/books/OL1728163M/The_death_and_life_of_great_American_cities,http://books.google.com/books/content?id=d88mmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,307.76/0973
Influence,The Psychology of Persuasion,His,1,9780061241895,1.0,1.0,Robert B. Cialdini,ICON Group International,2007,336.0,Dr Robert Cialdini explains the six psychological principles that drive the human impulse to comply to the pressures of others and reveals how to defend oneself against manipulation.,Business & Economics,Psychology,,Compliance;Influence (Psychology);Nonfiction;OverDrive;Persuasion (Psychology);Self-Improvement;Persuasion (Psychologie);Influence (Psychologie);Sociale beïnvloeding;Overreding;Complaisance;Accessible book;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/E5p5qVbkl1IC,https://openlibrary.org/books/OL18290713M/Influence,http://books.google.com/books/content?id=E5p5qVbkl1IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The 7 Habits of Highly Effective People,Restoring the Character Ethic,His,1,0743408853,1.0,,Stephen R. Covey,,1999,358.0,,Character,Psychology,,,,https://www.googleapis.com/books/v1/volumes/j7GCPwAACAAJ,,,
"On Writing Well, 30th Anniversary Edition",The Classic Guide to Writing Nonfiction,His,1,9780060891541,1.0,1.0,William Zinsser,Harper Collins,2006-05-09,336.0,"On Writing Well has been praised for its sound advice, its clarity and the warmth of its style. It is a book for everybody who wants to learn how to write or who needs to do some writing to get through the day, as almost everybody does in the age of e-mail and the Internet. Whether you want to write about people or places, science and technology, business, sports, the arts or about yourself in the increasingly popular memoir genre, On Writing Well offers you fundamental priciples as well as the insights of a distinguished writer and teacher. With more than a million copies sole, this volume has stood the test of time and remains a valuable resource for writers and would-be writers.",Reference,Writing,,Accessible book;English language;Exposition (Rhetoric);Prose literature;Protected DAISY;Report writing;Rhetoric;Technique;Anglais (Langue);Rhétorique;Prose;In library,,https://www.googleapis.com/books/v1/volumes/tPkZ3WU1BM8C,https://openlibrary.org/books/OL3430145M/On_Writing_Well,http://books.google.com/books/content?id=tPkZ3WU1BM8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,808/.042
Blur,How to Know What's True in the Age of Information Overload,His,1,9781608193011,1.0,,Bill Kovach;Tom Rosenstiel,Bloomsbury Publishing USA,2011-08-30,240.0,A critical guide in an age when the line between citizen and journalist is becoming increasingly unclear.,Language Arts & Disciplines,Media,Journalism,,,https://www.googleapis.com/books/v1/volumes/pNGmCAAAQBAJ,,http://books.google.com/books/content?id=pNGmCAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Elements of Journalism,What Newspeople Should Know and the Public Should Expect,His,1,9780307346704,1.0,1.0,Bill Kovach;Tom Rosenstiel,Three Rivers Press (CA),2007,268.0,"Updated to incorporate the latest information on current media trends, online media, blogging, and other recent events, a thought-provoking study outlines the main principles of journalism, discussing the ethical and professional issues affecting the work of newspeople, the forces shaping the profession, and the future of journalism. Original. 20,000 first printing.",Language Arts & Disciplines,Media,Journalism,Journalism;Journalistic ethics;OverDrive;Language Arts;Nonfiction,United States,https://www.googleapis.com/books/v1/volumes/oLzYD18Z-OcC,https://openlibrary.org/books/OL17227781M/The_Elements_of_Journalism,http://books.google.com/books/content?id=oLzYD18Z-OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The innovator's dilemma,the revolutionary book that will changed the way you do business,His,1,9780060521998,1.0,1.0,Clayton M. Christensen,Harper Paperbacks,2003,286.0,Harvard professor Christensen demonstrates in this revolutionary business book why outstanding companies that do everything right still lose their market leadership when confronted with disruptive changes in technology and market structure. He tells how to avoid a similar fate as businesses race online into the 21st century.,Business & Economics,Innovation and Creativity,,In library;Industrial management;Disruptive technologies;Success in business;Customer services;Accessible book;innovation;Service à la clientèle;Succès dans les affaires;Protected DAISY;Creative ability in business;Gestion d'entreprise;Créativité dans les affaires;Internet Archive Wishlist,,https://www.googleapis.com/books/v1/volumes/qZxlDIzXyqwC,https://openlibrary.org/books/OL21170033M/The_innovator's_dilemma,http://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Quiet,The Power of Introverts in a World that Can't Stop Talking,His,1,9780307352156,1.0,1.0,Susan Cain,Broadway Books,2013,352.0,"Demonstrates how introverted people are misunderstood and undervalued in today's culture, charting the rise of extrovert ideology while sharing anecdotal examples to counsel readers on how to use introvert talents to adapt to various situations and empower introverted children. Reprint. 150,000 first printing.",Psychology,Psychology,,,,https://www.googleapis.com/books/v1/volumes/uNMjeFMorPgC,https://openlibrary.org/books/OL26431677M/Quiet_The_Power_of_Introverts_in_a_World_That_Can't_Stop_Talking,http://books.google.com/books/content?id=uNMjeFMorPgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
